,Unnamed: 0,Language,USER_COMMENT,Toxicity,Obscene,Insult,Sexual_Explicit,Identity_Attack,Threat,not_offensive
0,0,E,And the population has more money to spend than they ever had.,0,0,1,0,0,1,0
1,1,M,Xi darba bhalek kont nivvota ghall-qattiela,0,0,1,0,0,0,0
2,2,E,"The simplest and most psychologically satisfying explanation of any observed phenomenon is that it happened that way because someone wanted it to happen that way.
Thomas Sowell : a Black-American Professor.",0,0,0,0,0,0,1
3,3,E,.... and are you so sure that it is legal to allow an aggressor to breach a restraining order issued by the victim's lawyer?,0,0,0,0,0,0,1
4,4,E,.... and are you so sure that it is legal to arrest somebody if he/she is reported to the police?,0,0,0,0,0,0,1
5,5,E,"...because contrary to what the ever so eminent and learned Franco Debono thinks, it is not the purported arrogance of politicians like Lawrence Gonzi (for crying out loud) that create unsurmountable majorities, but common, regular and pervasive miracles of the sort.",1,0,1,0,1,0,0
6,6,E,"...u rrabjati u d-disprati, u baqghu hekk minkejja r-rebhiet li ghamlu. Jifirhu billi jinbxu, minghalihom u jitghajjru.",0,0,1,0,1,0,0
7,7,E,"380 too many.
And if 315 migrants were reimpatriated, something which I don't believe for one second, there are still 65 who entered our country illegally, and have no right to stay here.
More profits to line human traffickers and ngos pockets.",1,0,0,0,0,0,0
8,8,E,A gun in her hand would have helped.,1,0,1,0,1,1,0
9,9,E,"A hundred out of thousands of them.

And out of the 100 how come only 6 fitted into the photo ??",0,0,0,0,0,0,1
10,10,E,"A message to the authorities: Don’t let Malta end up to be the scum of the EU.

Send them back to the country they have entered into the EU.",1,1,1,0,1,1,0
11,11,E,"A pity, because offending people by calling them 'dead brain' is not exactly the best way to win people to your cause, alienating even those who might be of goodwill. Good night.",0,0,0,0,0,0,1
12,12,E,"A very evil couple how can they have the heart to abuse and mistreated their own children, if proven guilty they both should be locked up for life, those children will be forever traumatized and will go through hard chapters in their life , because of an evil animals who deserve to be deprived from the same oxygen that maintain life ....",0,1,1,1,1,0,0
13,13,E,AND THEN SOME WOULD BE SURPRISED THAT THE VAST MAJORITY OF MALTESE PEOPLE DO NOT TRUST IN THE MALTESE COURTS,0,0,0,0,0,1,0
14,14,M,ASSULUTAMENT VERU.,0,0,0,0,0,0,1
15,15,E,Agree - they should question Jeremie as to his dealer and punish them too,0,0,0,0,1,1,0
16,16,E,Ah so you are saying that all these TNCs are taking care of our parents? Please indicate the percentage of how many TNCs are actually doing such jobs and provide source for the claim.,1,0,1,0,1,1,0
17,17,M,Ahjar minnek zgur,0,0,1,0,1,0,0
18,18,M,"Aktar minnek. Dan ma kien se Jghid xejn lil ħadd. Mela bravu, fuq x'hiex se taqflu u tarmi cavetta?",0,0,1,0,1,0,0
19,19,E,Also re: apartments are people who have inherited a house that sell it to contractors. i challenge you to keep yours as a souviner in case your parents would leave you one. rather than making 400k out of it. than we would see your hypocrisy stiefnu.,0,0,0,0,0,0,1
20,20,E,Amazing the miracles that happen when it comes to getting votes. The paralysed get up and walk to receive social benefits while the dead rise to go vote. All performed by San Fotti.,1,0,1,0,1,0,0
21,21,E,An appropriate legal framework obviously needs to be in place. Other countries have moved forward on this front but we seem to be lagging behind. That is the whole point of the post raised which you seem to have again missed in the rush of scribbling something.,1,0,0,0,0,0,0
22,22,E,And the ones that immigrated to the countries you mentioned will be eating hobz biz zejt. You can't get rich in Tuscany or the UK.,0,0,0,0,0,1,0
23,23,E,And then the minister has the audacity to say that this us not theft. The minister should resign and accept shared responsibility including paying his part if the fines and refunds.,0,0,1,0,0,0,0
24,24,E,And who decides to place an electronic tag?,0,0,0,0,0,0,1
25,25,E,"And you believe a business would stay open making 2% profit? Also i don't think that any government has the right to tell anyone to shut down a business that is legit.
As far as i am aware Maltese don't want to work in that industry and i don't blame them.",0,0,0,0,0,0,1
26,26,E,Another idiot that wants to go back to the good old days of hobz biz zejt. You are the troll dumbo. Adrian had some good points. Yours are only good to make us poor again.,0,0,1,0,0,0,0
27,27,E,"Another lie of the Mafia Labour Party, and the corrupt fraudster RA, the situation will jot change these poor souls will be kept brought to our shores because they are assest for the Mafia , it will have to be the people who will vote these criminals out, and turn to the PN to fix the current issue just like back in the 80's",1,1,1,0,0,0,0
28,28,E,Anything to attract a vote,0,0,1,0,0,1,0
29,29,M,"Anzi ma gabrux lilha Ta’ kemm attakkat nies.

Sa fejn naf jien huwa l-iStat u mhux il-gvern fejn l-inkjesta tmur lura ghal zminijiet Ta’ gvernijiet nazzjonalisti.",1,0,0,0,1,0,0
30,30,M,Ara jisimghek Peppi ghax jumbrak.,0,1,0,0,1,0,0
31,31,M,"Ara, x'sorpriza!

X'tistenna minn hemm.",1,0,1,0,1,0,0
32,32,E,Are they still killing the young IDF soldiers?,0,0,0,0,0,0,1
33,33,E,"Are you suggesting that it's OK to keep two elderly people with a list of medical issues as long as an arm waiting for an entire afternoon and night? That doesn't sound an NHS that is working to me. As said this was done on doctor advise.

Meanwhile as hospital is at the brink thanks to overpopulation meant mostly to feed big business greed, Vitals were given hundreds of millions to do squat all. The disgraced one is still given multiple perks as part of the package despite contributing to this mess as well. How on earth can this be considered fair",0,0,0,0,0,0,1
34,34,M,Arnold kun daqxejn serju aktar,0,0,0,0,0,0,1
35,35,E,"As I mentioned above, why do you suddenly care what happens to another Muslim minority when you are on record of accusing them of all evils from abuse of women to being pedophiles to supporting female FGM, incidentally issues on which you are wrong.",1,0,0,0,1,0,0
36,36,E,"As a former junior doctor at St Luke's Hospital, I support this initiative.

But what I would also like to point out is that foreign caregivers in Malta, whether they are doctors, nurses or medical assistants, need to be TAUGHT basic Maltese. The expectation they will know the language immediately after they arrive is unrealistic.

Most Indian, Filipino and Eastern European health care providers speak English. If they are taught BASIC Maltese, their skills will improve, but that can only happen IF they are given the necessary training and not otherwise.",0,0,0,0,0,0,1
37,37,E,As an ultra conservative Christian you do not care? Hekk qallek Manchet??,0,0,1,0,1,1,0
